Year,Status,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness  1-19 years,thinness 5-9 years,Income composition of resources,Schooling
2007.0,1,81.0,8.0,0.0,12.5,7453.86,127.5,20.0,53.7,0.0,127.5,1.4,127.5,0.1,46586.65,8295487.0,1.7,1.9,0.86,15.2
2006.0,1,79.8,81.0,0.0,12.4,69.93,124.5,23.0,53.2,0.0,124.5,1.35,124.5,0.1,443.99,8268641.0,1.7,1.9,0.85,15.0
2005.0,1,79.4,85.0,0.0,12.4,5992.59,129.0,9.0,52.7,0.0,129.0,1.53,129.0,0.1,38242.43,8227829.0,1.7,1.9,0.85,14.9
2004.0,1,79.3,86.0,0.0,12.1,5316.88,124.5,15.0,52.2,0.0,124.5,1.56,124.5,0.1,36693.43,8171966.0,1.7,1.9,0.84,14.7
2003.0,1,78.8,88.0,0.0,12.2,504.43,124.5,90.0,51.7,0.0,126.0,1.48,126.0,0.1,3212.94,8121423.0,1.7,1.9,0.84,14.7
2002.0,1,78.7,9.0,0.0,12.5,3979.06,121.5,0.0,51.2,0.0,123.0,1.27,124.5,0.1,26351.38,881957.0,1.7,1.9,0.85,16.1
2001.0,1,78.6,92.0,0.0,12.4,3582.85,66.0,0.0,5.6,0.0,124.5,1.12,126.0,0.1,24489.74,842293.0,1.7,1.9,0.84,15.5
2000.0,1,78.1,96.0,0.0,13.2,3557.46,49.5,0.0,5.1,0.0,106.5,1.6,121.5,0.1,24517.27,811566.0,1.7,1.9,0.83,15.4
2015.0,0,72.7,118.0,5.0,0.99,0.0,144.0,0.0,52.5,6.0,147.0,5.68,144.0,0.1,55.31,9649341.0,2.8,2.9,0.76,12.7
2014.0,0,72.5,119.0,5.0,0.01,306.18,141.0,0.0,51.5,6.0,145.5,6.4,141.0,0.1,7891.3,953579.0,2.8,2.9,0.75,12.2
2013.0,0,72.2,121.0,5.0,2.14,275.65,139.5,164.0,44.200786119748784,6.0,144.0,5.54,139.5,0.1,7875.76,941681.0,2.8,2.8,0.74,11.9
2012.0,0,71.9,123.0,5.0,0.01,285.61,132.0,0.0,49.7,6.0,138.0,5.37,133.5,0.1,7496.34,9295784.0,2.8,2.8,0.74,11.8
2011.0,0,71.6,125.0,5.0,1.98,263.14,126.0,0.0,48.8,6.0,136.5,5.1,130.5,0.1,7189.69,917382.0,2.8,2.9,0.74,11.7
2010.0,0,71.1,13.0,5.0,1.98,246.57,12.0,0.0,48.0,6.0,127.5,5.33,121.5,0.1,5842.86,954332.0,2.8,2.9,0.74,11.7
2009.0,0,78.0,132.0,6.0,2.1,22.49,111.0,0.0,47.3,6.0,126.0,5.85,121.5,0.1,495.29,8947243.0,2.8,2.9,0.73,11.6
2008.0,0,73.0,141.0,6.0,1.18,206.26,102.0,5.0,46.6,6.0,127.5,4.37,121.5,0.1,5574.64,87634.0,2.8,2.9,0.72,11.6
2007.0,0,73.0,14.0,6.0,1.02,176.01,93.0,0.0,45.9,7.0,121.5,5.1,118.5,0.1,3851.44,85813.0,2.8,2.9,0.71,11.6
2006.0,0,69.2,154.0,6.0,0.85,105.63,78.0,222.0,45.3,7.0,12.0,6.17,117.0,0.1,2473.86,848455.0,2.9,2.9,0.68,10.7
